symbol,control_1
AGAP1,9.1877
AGAP2,7.6285
AGAP3,10.0202
AGAP4,6.0562
AGAP5,4.9781
AGAP6,6.8179
AGAP9,5.9724
AGBL3,3.1705
AGBL4,2.3925
AGBL5,8.7583
AGER,3.5242
AGFG1,10.4563
AGFG2,7.6909
AGGF1,9.0515
AGK,8.2666
AGL,8.5859
AGMAT,4.427
AGO1,10.1029
AGO2,10.4893
AGO3,8.5527
AGO4,7.6376
AGPAT1,11.0235
AGPAT2,9.2921
AGPAT3,11.1093
AGPAT4,7.3251
AGPAT5,8.2607
AGPS,9.739
AGR3,7.2321
AGT,4.1505
AGTPBP1,7.423
AGTR1,3.9314
AGTRAP,8.543
AHCTF1,10.5301
AHCY,10.9165
AHCYL1,11.4184
AHCYL2,8.0924
AHDC1,9.4188
AHI1,8.9011
AHNAK,15.6437
AHNAK2,9.7284
AHR,9.6475
AHRR,10.1482
AHSA1,10.5459
AHSA2P,7.6734
AIDA,11.3837
AIFM1,9.2031
AIFM2,7.7254
AIFM3,3.6731
AIG1,8.0385
AIMP1,9.5546
AIMP2,8.6813
AIP,8.8859
AIPL1,9.1179
AJM1,6.6303
AJUBA,10.1466
AK1,9.7263
AK2,10.4843
AK3,9.9868
AK4,7.6193
AK5,10.2286
AK6,6.2817
AK9,6.1094
AKAP1,7.7757
AKAP10,9.0549
AKAP11,10.5615
AKAP12,11.4892
AKAP13,10.2376
AKAP17A,9.0851
AKAP5,5.3759
AKAP6,5.0883
AKAP7,4.9197
AKAP8,8.7625
AKAP8L,9.1721
AKAP9,10.3566
AKIP1,8.3296
AKIRIN1,11.0829
AKIRIN2,9.1532
AKNA,8.3013
AKR1A1,9.7027
AKR1B1,11.1512
AKR1B10,5.8526
AKR1B15,4.8588
AKR1C1,7.5343
AKR1C2,4.9781
AKR1C3,3.5242
AKR1D1,4.427
AKR1E2,3.808
AKR7A2,9.315
AKT1,11.8002
AKT1S1,10.8368
AKT2,11.0218
AKT3,10.0579
AKTIP,8.1759
ALAD,9.1596
ALAS1,9.4706
ALAS2,6.3716
ALCAM,12.9254
ALDH16A1,8.0924
ALDH18A1,11.4911
ALDH1A3,7.6645
ALDH1B1,9.5008
ALDH1L1,3.1705
ALDH1L2,10.9919
ALDH2,9.8893
ALDH4A1,8.6138
ALDH5A1,5.722
ALDH6A1,8.1696
ALDH8A1,2.3925
ALDH9A1,10.6905
ALDOA,14.2529
